,cities,iter,epoch,cost,model_name
0,,50,,4,6.644856448240164,MultilayerTransformerBlockModel
0,,50,,4,6.551800122912643,MultilayerTransformerBlockModel
0,,50,,4,6.981038407881511,MultilayerTransformerBlockModel
0,,50,,4,6.621616014587858,MultilayerTransformerBlockModel
0,,50,,4,5.902426017182989,MultilayerTransformerBlockModel
0,,50,,4,6.733283304611703,MultilayerTransformerBlockModel
0,,50,,4,6.508503230446566,MultilayerTransformerBlockModel
0,,50,,4,6.671949156148164,MultilayerTransformerBlockModel
0,,50,,4,6.09491519566303,MultilayerTransformerBlockModel
0,,50,,4,6.436534576344951,MultilayerTransformerBlockModel
0,,50,,4,7.66402585799583,MultilayerTransformerBlockModel
0,,50,,4,7.074480225249017,MultilayerTransformerBlockModel
0,,50,,4,5.737632504270774,MultilayerTransformerBlockModel
0,,50,,4,7.430116773222013,MultilayerTransformerBlockModel
0,,50,,4,6.476153235073855,MultilayerTransformerBlockModel
0,,50,,4,5.471069279518291,MultilayerTransformerBlockModel
0,,50,,4,7.335389772852748,MultilayerTransformerBlockModel
0,,50,,4,7.051034780576635,MultilayerTransformerBlockModel
0,,50,,4,6.839228947387049,MultilayerTransformerBlockModel
0,,50,,4,6.129820281580736,MultilayerTransformerBlockModel
0,,50,,4,6.95238714458889,MultilayerTransformerBlockModel
0,,50,,4,7.0288621193050265,MultilayerTransformerBlockModel
0,,50,,5,6.147078634827379,MultilayerTransformerBlockModel
0,,50,,5,6.253514456103768,MultilayerTransformerBlockModel
0,,50,,5,6.746347373300937,MultilayerTransformerBlockModel
0,,50,,5,6.867161000496155,MultilayerTransformerBlockModel
0,,50,,5,7.08582453011445,MultilayerTransformerBlockModel
0,,50,,5,6.317115106395959,MultilayerTransformerBlockModel
0,,50,,5,6.810822440043864,MultilayerTransformerBlockModel
0,,50,,5,6.370593179988661,MultilayerTransformerBlockModel
0,,50,,5,6.505286152681926,MultilayerTransformerBlockModel
0,,50,,5,7.159319997165435,MultilayerTransformerBlockModel
0,,50,,5,6.413059142284,MultilayerTransformerBlockModel
0,,50,,5,6.47322098965336,MultilayerTransformerBlockModel
0,,50,,5,6.301518397280674,MultilayerTransformerBlockModel
0,,50,,5,6.6491925928055275,MultilayerTransformerBlockModel
0,,50,,5,6.932975809904036,MultilayerTransformerBlockModel
0,,50,,5,6.778736499941003,MultilayerTransformerBlockModel
0,,50,,5,5.830188396688444,MultilayerTransformerBlockModel
0,,50,,5,6.248390238223362,MultilayerTransformerBlockModel
0,,50,,5,6.5875190866024464,MultilayerTransformerBlockModel
0,,50,,5,7.645875118178131,MultilayerTransformerBlockModel
0,,50,,5,6.270920264092329,MultilayerTransformerBlockModel
0,,50,,5,6.953883326039936,MultilayerTransformerBlockModel
0,,50,,5,7.097870840292023,MultilayerTransformerBlockModel
0,,50,,5,6.197818356614342,MultilayerTransformerBlockModel
0,,50,,5,6.1273693332638794,MultilayerTransformerBlockModel
0,,50,,5,5.608755176006884,MultilayerTransformerBlockModel
0,,50,,5,7.174600165914617,MultilayerTransformerBlockModel
0,,50,,5,6.189482834034946,MultilayerTransformerBlockModel
0,,50,,5,5.9588064951169395,MultilayerTransformerBlockModel
0,,50,,5,6.586996483788099,MultilayerTransformerBlockModel
0,,50,,5,6.942394661574244,MultilayerTransformerBlockModel
0,,50,,5,6.755162316768658,MultilayerTransformerBlockModel
0,,50,,5,6.409731206784271,MultilayerTransformerBlockModel
0,,50,,5,7.026610413464084,MultilayerTransformerBlockModel
0,,50,,5,5.849391223859106,MultilayerTransformerBlockModel
0,,50,,5,7.152860001475729,MultilayerTransformerBlockModel
0,,50,,5,6.519810946910136,MultilayerTransformerBlockModel
0,,50,,5,6.945457861225081,MultilayerTransformerBlockModel
0,,50,,5,6.468267547883457,MultilayerTransformerBlockModel
0,,50,,5,6.146992968724814,MultilayerTransformerBlockModel
0,,50,,5,7.064227435351964,MultilayerTransformerBlockModel
0,,50,,5,6.543741939408826,MultilayerTransformerBlockModel
0,,50,,5,6.699211804720433,MultilayerTransformerBlockModel
0,,50,,5,5.551971435541243,MultilayerTransformerBlockModel
0,,50,,5,6.794306393680895,MultilayerTransformerBlockModel
0,,50,,5,6.438553715406126,MultilayerTransformerBlockModel
0,,50,,5,7.512673802674962,MultilayerTransformerBlockModel
0,,50,,5,6.054173901577078,MultilayerTransformerBlockModel
0,,50,,5,6.708585875451708,MultilayerTransformerBlockModel
0,,50,,5,5.881465053151396,MultilayerTransformerBlockModel
0,,50,,6,7.146614562408889,MultilayerTransformerBlockModel
0,,50,,6,7.223794327359292,MultilayerTransformerBlockModel
0,,50,,6,7.005682599279807,MultilayerTransformerBlockModel
0,,50,,6,6.891243029955367,MultilayerTransformerBlockModel
0,,50,,6,6.502671556536573,MultilayerTransformerBlockModel
0,,50,,6,6.58598048673496,MultilayerTransformerBlockModel
0,,50,,6,6.14587661497465,MultilayerTransformerBlockModel
0,,50,,6,6.597920564452415,MultilayerTransformerBlockModel
0,,50,,6,6.844371627609247,MultilayerTransformerBlockModel
0,,50,,6,6.800121503142044,MultilayerTransformerBlockModel
0,,50,,6,7.691586281166868,MultilayerTransformerBlockModel
0,,50,,6,8.156465679725708,MultilayerTransformerBlockModel
0,,50,,6,7.315484520223765,MultilayerTransformerBlockModel
0,,50,,6,6.090797156407728,MultilayerTransformerBlockModel
0,,50,,6,7.008404539737315,MultilayerTransformerBlockModel
0,,50,,6,5.853436154272866,MultilayerTransformerBlockModel
0,,50,,6,6.315715594917583,MultilayerTransformerBlockModel
0,,50,,6,6.302039321039561,MultilayerTransformerBlockModel
0,,50,,6,6.5239504319220565,MultilayerTransformerBlockModel
0,,50,,6,6.368848086417446,MultilayerTransformerBlockModel
0,,50,,6,6.015827594929794,MultilayerTransformerBlockModel
0,,50,,6,6.306803918957983,MultilayerTransformerBlockModel
0,,50,,6,6.517805550200829,MultilayerTransformerBlockModel
0,,50,,6,7.623285804528418,MultilayerTransformerBlockModel
0,,50,,6,6.49919529397871,MultilayerTransformerBlockModel
0,,50,,6,6.750515364924757,MultilayerTransformerBlockModel
0,,50,,6,6.146760458727995,MultilayerTransformerBlockModel
0,,50,,6,6.442153904042598,MultilayerTransformerBlockModel
0,,50,,6,6.905434213332858,MultilayerTransformerBlockModel
0,,50,,6,7.1146885459457385,MultilayerTransformerBlockModel
0,,50,,6,6.797864309311545,MultilayerTransformerBlockModel
0,,50,,6,6.643543837003949,MultilayerTransformerBlockModel
0,,50,,6,6.460225579104806,MultilayerTransformerBlockModel
0,,50,,6,7.005707327096833,MultilayerTransformerBlockModel
0,,50,,6,6.917268871768755,MultilayerTransformerBlockModel
0,,50,,6,6.4214191567074925,MultilayerTransformerBlockModel
0,,50,,6,7.034023016437506,MultilayerTransformerBlockModel
0,,50,,6,6.886262567306848,MultilayerTransformerBlockModel
0,,50,,6,6.822384455132629,MultilayerTransformerBlockModel
0,,50,,6,6.281143609721855,MultilayerTransformerBlockModel
0,,50,,6,6.282394652826603,MultilayerTransformerBlockModel
0,,50,,6,5.37364998553024,MultilayerTransformerBlockModel
0,,50,,6,6.527407918949797,MultilayerTransformerBlockModel
0,,50,,6,6.90900059340128,MultilayerTransformerBlockModel
0,,50,,6,6.617121430251418,MultilayerTransformerBlockModel
0,,50,,6,6.932167034001704,MultilayerTransformerBlockModel
0,,50,,6,7.144874858357045,MultilayerTransformerBlockModel
0,,50,,6,6.517359435709115,MultilayerTransformerBlockModel
0,,50,,6,6.965632354049077,MultilayerTransformerBlockModel
0,,50,,6,6.544804768683562,MultilayerTransformerBlockModel
0,,50,,7,7.320669021361942,MultilayerTransformerBlockModel
0,,50,,7,6.707758344641378,MultilayerTransformerBlockModel
0,,50,,7,6.191715430909986,MultilayerTransformerBlockModel
0,,50,,7,7.042481853132793,MultilayerTransformerBlockModel
0,,50,,7,6.626977781513713,MultilayerTransformerBlockModel
0,,50,,7,7.1446726511951,MultilayerTransformerBlockModel
