,model_name,fold,epoch,tr_loss,tr_acc,val_loss,val_acc
66,BaseModel,7,7,0.5673346045282152,81.78333333333333,0.5328247141838074,83.4
67,BaseModel,7,8,0.561944668425454,81.76666666666667,0.5327118377685547,83.5
68,BaseModel,7,9,0.5609710426860386,81.70555555555555,0.5436805286407471,83.5
69,BaseModel,7,10,0.5548086213005914,81.82777777777778,0.5185601489543915,83.9
70,BaseModel,8,1,1.4779123565885757,59.62222222222222,0.6187203178405761,81.2
71,BaseModel,8,2,0.6288556346363492,79.80555555555556,0.5633826060295105,82.05
72,BaseModel,8,3,0.5896467390060425,80.74444444444444,0.5687423582077027,82.25
73,BaseModel,8,4,0.5835990609592862,81.13333333333334,0.550376932144165,82.4
74,BaseModel,8,5,0.5749438315497505,81.21111111111111,0.542129207611084,82.45
75,BaseModel,8,6,0.5674766138924493,81.22777777777777,0.5358066582679748,82.35
